label	period_ns	max_dsp	lut	ff	dsp	slack_ns	datapath_ns	logic_ns	route_ns	levels
alu_base	25.0	-1	558	199	0	13.796	11.151	1.616	9.535	7
alu_pext	25.0	-1	916	200	18	6.972	17.973	12.178	5.795	12
ex_base	25.0	-1	905	464	0	10.267	14.678	1.324	13.354	7
ex_pext	25.0	-1	1166	466	18	3.179	21.818	13.107	8.711	16
ex_none	25.0	-1	905	464	0	11.408	13.537	1.448	12.033	8
op_dot8	25.0	-1	242	192	8	11.891	13.106	7.481	5.625	11
op_max8	25.0	-1	181	192	0	19.708	5.287	3.082	2.205	17
op_qmul	25.0	-1	166	192	10	8.573	16.375	11.557	4.818	10
op_clip8	25.0	-1	139	192	0	19.076	5.869	1.188	4.674	4
alu_base	28.571	-1	558	199	0	17.908	10.654	1.642	9.012	7
alu_pext	28.571	-1	916	200	18	10.498	18.018	11.822	6.196	12
ex_base	28.571	-1	905	464	0	15.208	13.356	1.324	12.032	7
ex_pext	28.571	-1	1166	466	18	4.452	24.064	12.975	11.089	15
ex_none	28.571	-1	905	464	0	14.922	13.594	1.684	11.846	8
op_dot8	28.571	-1	242	192	8	15.462	13.106	7.481	5.625	11
op_max8	28.571	-1	181	192	0	23.054	5.512	3.082	2.430	17
op_qmul	28.571	-1	166	192	10	12.144	16.375	11.557	4.818	10
op_clip8	28.571	-1	139	192	0	22.184	6.380	1.188	5.192	4
