label	period_ns	max_dsp	lut	ff	dsp	slack_ns	datapath_ns	logic_ns	route_ns	levels
alu_base	25.0	0	558	199	0	13.796	11.151	1.616	9.535	7
alu_pext	25.0	0	3585	211	0	0.450	24.495	11.224	13.271	29
ex_base	25.0	0	905	464	0	10.267	14.678	1.324	13.354	7
ex_pext	25.0	0	3849	466	0	-0.208	25.155	12.132	13.023	35
ex_none	25.0	0	905	464	0	11.408	13.537	1.448	12.033	8
op_dot8	25.0	0	1017	192	0	8.654	16.291	6.741	9.550	19
op_max8	25.0	0	181	192	0	19.708	5.287	3.082	2.205	17
op_qmul	25.0	0	2089	198	0	2.250	22.697	11.566	11.131	32
op_clip8	25.0	0	139	192	0	19.076	5.869	1.188	4.674	4
alu_base	28.571	0	558	199	0	17.908	10.654	1.642	9.012	7
alu_pext	28.571	0	3588	211	0	3.811	24.705	11.560	13.145	33
ex_base	28.571	0	905	464	0	15.208	13.356	1.324	12.032	7
ex_pext	28.571	0	3846	466	0	0.988	27.528	12.152	15.376	37
ex_none	28.571	0	905	464	0	14.922	13.594	1.684	11.846	8
op_dot8	28.571	0	1017	192	0	12.188	16.328	6.752	9.576	18
op_max8	28.571	0	181	192	0	23.054	5.512	3.082	2.430	17
op_qmul	28.571	0	2090	198	0	4.954	23.564	11.559	12.005	33
op_clip8	28.571	0	139	192	0	22.184	6.380	1.188	5.192	4
