dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,implementation,cell_class,exclusion_reason
0,moonshine$dispatch_0_conv2d_s8,,,1000000000,us,1000000000000,0,,excluded_unmeasured,conv2d_s8,N=1;IC=1;IH=1;IW=64000;OC=288;OH=1;OW=999;KH=1;KW=127;SH=1;SW=64;PH=0;PW=0,,,excluded_unmeasured,"the roccmoon kernel #includes a hart-0-executable fallback body, so this cell is physically possible -- but no board run in this tree has measured it, and inventing a number here would be fiction"
1,moonshine$dispatch_1_tanh_s8,,,1000000000,us,1000000000000,0,,excluded_unmeasured,tanh_s8,n=287712,,,excluded_unmeasured,"the roccmoon kernel #includes a hart-0-executable fallback body, so this cell is physically possible -- but no board run in this tree has measured it, and inventing a number here would be fiction"
2,moonshine$dispatch_2_groupnorm_s8,,,101.172144190,ms,101172144.190,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,groupnorm_s8,N=1;C=288;H=1;W=999,4046886,pext_int_rsqrt[curated[pext_nl]],measured,
3,moonshine$dispatch_3_conv2d_s8,,,1000000000,us,1000000000000,0,,excluded_unmeasured,conv2d_s8,N=1;IC=288;IH=1;IW=999;OC=576;OH=1;OW=331;KH=1;KW=7;SH=1;SW=3;PH=0;PW=0,,,excluded_unmeasured,"the roccmoon kernel #includes a hart-0-executable fallback body, so this cell is physically possible -- but no board run in this tree has measured it, and inventing a number here would be fiction"
4,moonshine$dispatch_4_gelu_s8,,,1000000000,us,1000000000000,0,,excluded_unmeasured,gelu_s8,n=190656,,,excluded_unmeasured,"the roccmoon kernel #includes a hart-0-executable fallback body, so this cell is physically possible -- but no board run in this tree has measured it, and inventing a number here would be fiction"
5,moonshine$dispatch_5_conv2d_s8,,,1000000000,us,1000000000000,0,,excluded_unmeasured,conv2d_s8,N=1;IC=576;IH=1;IW=331;OC=288;OH=1;OW=165;KH=1;KW=3;SH=1;SW=2;PH=0;PW=0,,,excluded_unmeasured,"the roccmoon kernel #includes a hart-0-executable fallback body, so this cell is physically possible -- but no board run in this tree has measured it, and inventing a number here would be fiction"
6,moonshine$dispatch_6_gelu_s8,,,1000000000,us,1000000000000,0,,excluded_unmeasured,gelu_s8,n=47520,,,excluded_unmeasured,"the roccmoon kernel #includes a hart-0-executable fallback body, so this cell is physically possible -- but no board run in this tree has measured it, and inventing a number here would be fiction"
7,moonshine$dispatch_7_permute4_s8,,,10.192441870,ms,10192441.870,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,permute4_s8,d0=1;d1=288;d2=1;d3=165;p0=0;p1=2;p2=3;p3=1,407698,pext_block[curated[pext_nl]],measured,
8,moonshine$dispatch_8_layernorm_pc_s8,,,1000000000,us,1000000000000,0,,excluded_unmeasured,layernorm_pc_s8,M=165;K=288,,,excluded_unmeasured,"the roccmoon kernel #includes a hart-0-executable fallback body, so this cell is physically possible -- but no board run in this tree has measured it, and inventing a number here would be fiction"
9,moonshine$dispatch_9_linear_s8,,,1000000000,us,1000000000000,0,,excluded_unmeasured,linear_s8,M=165;K=288;N=288,,,excluded_unmeasured,"the roccmoon kernel #includes a hart-0-executable fallback body, so this cell is physically possible -- but no board run in this tree has measured it, and inventing a number here would be fiction"
