dispatch_id,module_name,vmfb_path,mlir_path,mean_time,mean_unit,mean_time_ns,returncode,log_path,source,op,shape,cycles,implementation,cell_class,exclusion_reason
0,moonshine$dispatch_0_conv2d_s8,,,78.960020750,ms,78960020.750,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,conv2d_s8,N=1;IC=1;IH=1;IW=64000;OC=288;OH=1;OW=999;KH=1;KW=127;SH=1;SW=64;PH=0;PW=0,3158401,roccmoon_engine[curated],measured,
1,moonshine$dispatch_1_tanh_s8,,,34.444300150,ms,34444300.150,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,tanh_s8,n=287712,1377772,roccmoon_lut[curated],measured,
2,moonshine$dispatch_2_groupnorm_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,groupnorm_s8,N=1;C=288;H=1;W=999,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
3,moonshine$dispatch_3_conv2d_s8,,,227.468300410,ms,227468300.410,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,conv2d_s8,N=1;IC=288;IH=1;IW=999;OC=576;OH=1;OW=331;KH=1;KW=7;SH=1;SW=3;PH=0;PW=0,9098732,roccmoon_engine[curated],measured,
4,moonshine$dispatch_4_gelu_s8,,,6.013974980,ms,6013974.980,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,gelu_s8,n=190656,240559,roccmoon_lut[curated],measured,
5,moonshine$dispatch_5_conv2d_s8,,,89.940939270,ms,89940939.270,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,conv2d_s8,N=1;IC=576;IH=1;IW=331;OC=288;OH=1;OW=165;KH=1;KW=3;SH=1;SW=2;PH=0;PW=0,3597638,roccmoon_engine[curated],measured,
6,moonshine$dispatch_6_gelu_s8,,,2.558731500,ms,2558731.500,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,gelu_s8,n=47520,102349,roccmoon_lut[curated],measured,
7,moonshine$dispatch_7_permute4_s8,,,1000000000,us,1000000000000,0,,excluded_impossible,permute4_s8,d0=1;d1=288;d2=1;d3=165;p0=0;p1=2;p2=3;p3=1,,,excluded_impossible,hart 1's tile has no P-extension (PynqZ2Configs.scala:220 WithPExtOnTiles(0) names hart 0 only); this kernel's body is custom-0 throughout and holds no hart-1-executable alternative -- it would take an illegal instruction
8,moonshine$dispatch_8_layernorm_pc_s8,,,4.452242470,ms,4452242.470,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,layernorm_pc_s8,M=165;K=288,178090,roccmoon_lane[curated],measured,
9,moonshine$dispatch_9_linear_s8,,,6.258624970,ms,6258624.970,0,,board_measured_b1_scaled_by_measured_region_factor_0.9932,linear_s8,M=165;K=288;N=288,250345,roccmoon_engine[curated],measured,
